airport_ident,type,description,frequency_mhz
EDDB,ATIS,Berlin VFR ATIS,133.63
EDDB,AFIS,Langen Information,132.65
EDDB,VOLMET,Berlin Volmet,128.405
EDDC,GND,DRESDEN GROUND / ROLLKOKNTROLLE,121.98
EDDC,TWR,DRESDEN TOWER / TURM,122.93
EDDC,APP,MUNCHEN RADAR,125.625
EDDC,ATIS,Dresden ATIS,118.88
EDDC,AFIS,LANGEN INFORMATION,125.8
EDDC,RMP,DRESDEN APRON / VORFELD,121.755
EDDE,GND,Erfurt Ground / Rollkontrolle,121.755
EDDE,TWR,Erfurt Tower / Turm,121.155
EDDE,APP,MUNCHEN RADAR,132.3
EDDE,ATIS,Erfurt ATIS,133.455
EDDE,AFIS,Langen Information,119.825
EDDE,RMP,APRON,121.9
EDDF,GND,Frankfurt Ground / Rollkontrolle,121.805
EDDF,TWR,FRANKFURT TOWER / TURM (SOUTH),119.905
EDDF,TWR,Frankfurt Tower / TURM (RWY 18),124.855
EDDF,TWR,FRANKFURT TOWER / TURM (NORTH),136.5
EDDF,ATIS,Frankfurt ATIS (ARR),118.03
EDDF,ATIS,Frankfurt ATIS (DEP),118.73
EDDF,A/D,LANGEN RADAR,118.45
EDDF,A/D,LANGEN RADAR,127.275
EDDF,AFIS,Langen Information,119.15
EDDF,AFIS,Langen Information,123.525
EDDF,CLD,Frankfurt Delivery (initial call),122.035
EDDF,DIR,DIR,124.2
EDDF,RMP,Frankfurt Apron / Vorfeld,121.655
EDDF,VOLMET,Frankfurt 1 VOLMET,127.605
EDDF,VOLMET,Frankfurt 2 VOLMET,135.78
EDDG,GND,Muenster Osnabrueck Ground / Rollkontrolle,121.88
EDDG,GND,Muenster Osnabrueck Ground / Rollkontrolle,282.125
EDDG,TWR,Muenster Osnabrueck Tower / Turm,120.365
EDDG,TWR,Muenster Osnabrueck Tower / Turm,129.805
EDDG,TWR,Muenster Osnabrueck Tower / Turm,282.125
EDDG,ATIS,Muenster Osnabrueck ATIS,127.18
EDDG,AFIS,Langen Information,129.875
EDDH,GND,Hamburg Ground / Rollkontrolle,121.805
EDDH,TWR,Hamburg Tower / Turm,121.28
EDDH,TWR,Hahn Tower / Turm,126.855
EDDH,ATIS,Hamburg ATIS,124.325
EDDH,AFIS,LANGEN INFORMATION,125.1
EDDH,DIR,DIRECTOR,118.2
EDDH,RDR,BREMEN RADAR,134.25
EDDH,RMP,Hamburg Apron / Vorfeld,121.705
EDDK,GND,Koeln/Bonn Ground / Rollkontrolle,121.73
EDDK,TWR,Koeln/Bonn Tower / Turm,124.98
EDDK,ATIS,Koeln/Bonn ATIS,132.13
EDDK,ATIS,,132.13
EDDK,AFIS,Langen Information,129.875
EDDK,CLD,Koeln/Bonn Delivery,121.855
EDDK,DIR,DIR,121.05
EDDK,MISC,APRON,121.95
EDDK,POST,MIL,136.25
EDDK,RDR,LANGEN RADAR,118.75
EDDK,VOLMET,Bremen VOLMET,127.41
EDDL,GND,Duesseldorf Ground / Rollkontrolle,121.905
EDDL,TWR,Duesseldorf Tower / Turm,118.305
EDDL,APP,DIR,128.65
EDDL,ATIS,Duesseldorf ATIS,123.78
EDDL,ACC,LANGEN RADAR,128.55
EDDL,AFIS,Langen Information,129.875
EDDL,CLD,CLNC DEL,121.775
EDDL,DELIVERY,Duesseldorf Delivery,121.78
EDDL,MISC,DE ICING,135.225
EDDM,GND,Muenchen Ground / Rollkontrolle,121.83
EDDM,GND,Muenchen Ground / Rollkontrolle,121.98
EDDM,TWR,Muenchen Tower North / Turm Nord,118.705
EDDM,TWR,Muenchen Tower / Turm,119.405
EDDM,TWR,Muenchen Tower South / Turm Süd,120.505
EDDM,ATIS,Muenchen ATIS,123.13
EDDM,ACC,RADAR,123.9
EDDM,AFIS,Langen Information,120.65
EDDM,AFIS,Langen Information,126.95
EDDM,ARR,ARR,120.775
EDDM,CLD,Muenchen Delivery,121.73
EDDM,DIR,DIRECTOR,118.825
EDDM,RDR,LCL RADAR,131.225
EDDM,RMP,Muenchen Apron 2 / Vorfeld 2,121.71
EDDM,RMP,Muenchen Apron 1 / Vorfeld 1,121.78
EDDM,RMP,Muenchen Apron 3 / Vorfeld 3,121.93
EDDM,VOLMET,Frankfurt 2 VOLMET,135.78
EDDN,GND,NUERNBERG GROUND / ROLLKONTROLLE,121.76
EDDN,TWR,NUERNBERG TOWER / TURM,118.305
EDDN,APP,Nürnberg Director,119.475
EDDN,ATIS,Nuernberg ATIS,123.08
EDDN,AFIS,Langen Information,120.65
EDDN,AFIS,Langen Information,125.8
EDDN,RDR,MUNCHEN RADAR,129.525
EDDN,VOLMET,Berlin VOLMET,128.405
EDDP,GND,GND,121.8
EDDP,TWR,TWR,121.1
EDDP,APP,MUNCHEN RADAR,124.175
EDDP,ATIS,ATIS,123.95
EDDP,INFO,MUNCHEN INFO,125.8
EDDR,GND,Saarbruekcen Ground / Rollkontrolle,118.555
EDDR,TWR,Saarbruekcen Tower / Turm,118.355
EDDR,ATIS,Saarbruekcen ATIS,125.48
EDDR,AFIS,Langen Information,123.525
EDDR,RDR,LANGEN RADAR,129.675
EDDS,GND,Stuttgart Ground / Rollkontrolle,118.605
EDDS,TWR,Stuttgart Tower / Turm,118.805
EDDS,TWR,Stuttgart Tower / Turm,119.065
EDDS,APP,Langen Radar Approach,119.2
EDDS,ATIS,Stuttgart ATIS,126.13
EDDS,AFIS,Langen Information,128.95
EDDS,CLD,Stuttgart Delivery,121.915
EDDS,DIR,Stuttgart Director,119.85
EDDS,MISC,DEICING,121.63
EDDS,RDR,LANGEN RADAR,119.2
EDDS,RMP,APRON,121.7
EDDS,VOLMET,Frankfurt 2 VOLMET,135.78
EDDV,GND,Hannover Ground / Rollkontrolle,121.955
EDDV,TWR,Hannover Tower / Turm,120.18
EDDV,TWR,Hannover Tower / Turm,120.405
EDDV,APP,DIRECTOR,119.6
EDDV,ATIS,Hannover ATIS,136.575
EDDV,AFIS,LANGEN INFORMATION,119.825
EDDV,RDR,BREMEN RADAR,131.325
EDDW,GND,Bremen Ground,121.755
EDDW,TWR,Bremen Tower,120.33
EDDW,TWR,Bremen Tower,134.83
EDDW,APP,RADAR,124.8
EDDW,ATIS,Bremen ATIS,132.38
EDDW,AFIS,Langen Information,125.1
EDDW,AFIS,Langen Information,128.525
EDDW,VOLMET,Bremen VOLMET,147.41
EDEB,AFIS,Langen Information,119.825
EDEB,INFO,Bad Langensalza Radio,125.365
EDEG,AFIS,Langen Information,119.825
EDEG,INFO,Gotha Radio,121.235
EDEH,AFIS,Langen Information,128.95
EDEH,INFO,Herrenteich Radio,132.055
EDEL,AFIS,Langen Information,123.525
EDEL,INFO,Langenlonsheim Radio,124.03
EDEM,AFIS,Langen Information,119.15
EDEM,AFIS,Mosenberg Radio,130.66
EDEN,AFIS,Langen Information,119.15
EDEN,INFO,Hersfeld Radio,119.005
EDEP,AFIS,Langen Information,119.15
EDEP,INFO,Heppenheim Radio,122.48
EDEQ,AFIS,Langen Information,119.825
EDEQ,INFO,Muehlhausen Radio,122.855
EDER,AFIS,Langen Information,119.15
EDER,INFO,Wasserkuppe Radio,120.13
EDEW,AFIS,Langen Information,119.15
EDEW,INFO,Wallduern Radio,131.01
EDFA,AFIS,Langen Information,123.525
EDFA,INFO,Anspach Radio,121.03
EDFB,AFIS,Langen Information,119.15
EDFB,INFO,Reichelsheim Radio,120.43
EDFC,AFIS,Langen Information,119.15
EDFC,INFO,,132.43
EDFE,AFIS,LANGEN INFORMATION,119.15
EDFE,INFO,Egelsbach Radio,118.405
EDFE,RMP,Egelsbach Apron / Vorfeld,121.73
EDFG,AFIS,Langen Information,119.15
EDFG,INFO,Gelnhausen Radio,123.055
EDFH,GND,Hahn Grond / Rollkontrolle,121.98
EDFH,TWR,Hahn Tower / Turm,119.655
EDFH,TWR,Hahn Tower / Turm,120.905
EDFH,APP,LANGEN RADAR,125.6
EDFH,ATIS,Hahn ATIS,136.355
EDFH,AFIS,Langen Information,123.525
EDFI,AFIS,Hirzenhaim Radio,118.33
EDFI,AFIS,Langen Information,123.525
EDFJ,AFIS,LANGEN INFORMATION,119.15
EDFJ,INFO,HAMMELBURG RADIO,118.43
EDFK,AFIS,Langen Information,119.15
EDFK,INFO,Bad Kissingen Radio,124.755
EDFL,AFIS,Langen Information,123.525
EDFL,INFO,Luetzelinden Radio,122.505
EDFM,TWR,Mannheim Tower / Turm,129.78
EDFM,ATIS,Mannheim ATIS,132.415
EDFM,AFIS,Langen Information,119.15
EDFM,AFIS,Langen Information,128.95
EDFM,INFO,Mannheim Information,129.78
EDFN,AFIS,Langen Information,119.15
EDFN,INFO,Marburg Radio,134.915
EDFO,AFIS,Langen Information,119.15
EDFO,INFO,Michelstadt Radio,124.515
EDFP,AFIS,Langen Information,119.15
EDFP,INFO,Ober-Moehrlen Radio,122.34
EDFQ,ATIS,Allendorf ATIS,120.465
EDFQ,ACC,LANGEN RADAR,124.725
EDFQ,AFIS,Langen Information,119.15
EDFQ,INFO,Allendorf Information,135.165
EDFR,AFIS,Langen Information,119.15
EDFR,INFO,Rothenburg Radio,128.36
EDFS,AFIS,Langen Information,119.15
EDFS,INFO,Schweinfurt Radio,119.98
EDFT,AFIS,Langen Information,119.15
EDFT,INFO,Lauterbach Radio,122.18
EDFU,AFIS,Langen Information,119.15
EDFU,INFO,Mainbullau Radio,121.035
EDFV,AFIS,Langen Information,123.525
EDFV,INFO,Worms Radio,124.605
EDFW,AFIS,Langen Information,119.15
EDFW,INFO,Schenkenturm Info,122.175
EDFX,AFIS,Langen Information,128.95
EDFX,INFO,Hockenheim Radio,121.19
EDFY,AFIS,Langen Information,123.525
EDFY,INFO,Elz Radio,128.755
EDFZ,AFIS,LANGEN INFO,123.525
EDFZ,INFO,Mainz Radio,122.93
EDGA,AFIS,Langen Information,123.525
EDGA,INFO,Ailertchen Radio,126.41
EDGB,AFIS,Langen Information,123.525
EDGB,INFO,Breitscheid Radio,122.53
EDGB,LISTNEING WATCH,Siegerland Information,120.38
EDGE,AFIS,Langen Information,119.825
EDGE,INFO,Eisenach Radio,119.755
EDGF,AFIS,Jossa Radio,118.985
EDGF,AFIS,Langen Information,119.15
EDGH,AFIS,Langen Information,119.15
EDGH,INFO,Hettstadt Radio,122.43
EDGI,AFIS,Langen Information,128.95
EDGI,INFO,Ingelfingen Radio,120.835
EDGK,AFIS,Langen Information,119.825
EDGK,INFO,Korbach Radio,125.815
EDGM,AFIS,Langen Information,128.95
EDGM,INFO,Mosbach Radio,128.34
EDGP,AFIS,Langen Information,123.525
EDGP,INFO,Oppenheim Radio,130.64
EDGQ,AFIS,Langen Information,129.875
EDGQ,INFO,Schameder Radio,133.585
EDGR,AFIS,Langen Information,119.15
EDGR,INFO,Reiskirchen Radio,127.86
EDGS,ATIS,Siegerland ATIS,128.705
EDGS,AFIS,Langen Information,123.525
EDGS,FIS,Siegerland Information,120.38
EDGS,RDR,LANGEN RADAR,124.9
EDGT,AFIS,Langen Information,123.525
EDGT,INFO,Bottenhorn Radio,132.81
EDGU,AFIS,Langen Information,119.15
EDGU,INFO,Uenterschuepf Radio,132.015
EDGW,AFIS,Langen Information,119.825
EDGW,INFO,Wolfhagen Radio,127.455
EDGX,AFIS,Langen Information,128.95
EDGX,INFO,Walldorf Radio,128.265
EDGZ,AFIS,Langen Information,119.15
EDGZ,INFO,Weinheim Radio,123.605
EDHB,AFIS,Langen Information,125.1
EDHB,INFO,Grube Radio,132.015
EDHC,AFIS,Langen Information,132.65
EDHC,INFO,Luechow Radio,125.365
EDHD,AFIS,Langen Information,119.825
EDHD,INFO,Eichsfeld Radio,124.03
EDHE,AFIS,Langen Information,125.1
EDHE,INFO,Uetersen Radio,122.705
EDHF,AFIS,Langen Information,125.1
EDHF,INFO,Itzehoe Radio,127.11
EDHG,AFIS,Lueneburg Radio,122.18
EDHG,AFIS,Langen Information,125.1
EDHI,TWR,Hahn Tower / Turm,121.28
EDHI,TWR,Hamburg Tower / Turm,121.28
EDHI,TWR,FINKENWERDER TOWER / TURM,123.25
EDHI,ATIS,Finkenwerder ATIS,135.965
EDHI,A/D,BREMEN RADAR,124.225
EDHI,AFIS,Langen Information,125.1
EDHI,RMP,Finkenwerder Apron / Vorfeld,121.655
EDHK,GND,GND,125.6
EDHK,AFIS,Langen Information,125.1
EDHK,FIS,Kiel Information,119.96
EDHK,OPS,KIEL MIL,33.832
EDHK,RDR,BREMEN RADAR,136.225
EDHK,RMP,APRON,121.9
EDHK,VOLMET,Bremen VOLMET,127.41
EDHL,GND,Luebeck Ground,121.78
EDHL,TWR,Luebeck Tower / Turm,128.705
EDHL,ATIS,Luebeck ATIS,119.93
EDHL,AFIS,Langen Information,125.1
EDHL,INFO,Luebeck Radio,128.705
EDHL,RDR,BREMEN RADAR,124.225
EDHM,AFIS,Langen Information,125.1
EDHM,INFO,Hartenholm Radio,118.13
EDHN,AFIS,Langen Information,125.1
EDHN,INFO,Neumuenster Radio,136.41
EDHO,INFO,,122.6
EDHS,AFIS,Langen Information,125.1
EDHS,INFO,Stade Radio,132.74
EDHU,AFIS,Langen Information,125.1
EDHU,INFO,Lauenbrueck Radio,124.485
EDHW,AFIS,Langen Information,125.1
EDHW,INFO,Wahlstedt Radio,128.91
EDJA,GND,Memmingen Ground / Rollkontrolle,121.68
EDJA,TWR,Memmingen Tower / Turm,126.855
EDJA,ATIS,Memmingen ATIS,118.855
EDJA,AFIS,Langen Information,126.95
EDJG,AFIS,Langen Information,126.95
EDJG,INFO,Grabenstaett Radio,135.985
EDKA,AFIS,Langen Information,125.525
EDKA,AFIS,Langen Information,129.875
EDKA,INFO,Aachen Radio,122.88
EDKB,AFIS,Langen Information,123.525
EDKB,INFO,Bonn-Hangelar Radio,135.155
EDKD,AFIS,Langen Information,129.875
EDKD,INFO,Altena Radio,121.19
EDKF,AFIS,Langen Information,129.875
EDKF,INFO,Bergneustadt Radio,125.84
EDKH,AFIS,Langen Information,129.875
EDKH,INFO,Huensborn Radio,123.685
EDKI,AFIS,Langen Information,123.525
EDKI,INFO,Betzdorf Radio,122.23
EDKL,AFIS,Langen Information,129.875
EDKL,INFO,Leverkusen Radio,122.43
EDKM,AFIS,Langen Information,129.875
EDKM,INFO,Meschede Radio,126.015
EDKN,CTAF,Wipperfürth RADIO,133.58
EDKN,AFIS,Langen Information,129.875
EDKO,AFIS,Langen Information,129.875
EDKO,INFO,Brilon Radio,129.38
EDKP,AFIS,Langen Information,129.875
EDKP,INFO,Plettenberg Radio,127.11
EDKR,AFIS,Langen Information,129.875
EDKR,INFO,Schmallenberg Radio,127.09
EDKU,AFIS,Langen Information,129.875
EDKU,INFO,ATTENDORN RADIO,121.405
EDKV,AFIS,Langen Information,123.525
EDKV,INFO,Dahlemer Binz Radio,130.085
EDKW,AFIS,Langen Information,129.875
EDKW,INFO,Werdohl Radio,118.005
EDKZ,AFIS,Langen Information,129.875
EDKZ,INFO,Meinerzhagen Radio,130.605
EDLA,ATIS,Langen Information,133.805
EDLA,AFIS,Langen Information,129.875
EDLA,INFO,Arnsberg Radio,121.21
EDLB,AFIS,Langen Information,129.875
EDLB,INFO,Borkenberge Radio,135.005
EDLC,AFIS,Langen Information,129.875
EDLC,RADIO,Kamp-Lintfort Radio,125.315
EDLD,AFIS,Langen Information,129.875
EDLD,INFO,Dinslaken Radio,122.705
EDLE,AFIS,Langen Information,129.875
EDLE,INFO,Essen Muelheim Radio,119.755
EDLF,AFIS,Langen Information,129.875
EDLF,INFO,Grefrath Radio,126.705
EDLG,AFIS,Langen Information,129.875
EDLG,INFO,Goch Radio,118.445
EDLH,AFIS,Langen Information,129.875
EDLH,INFO,HAMM RADIO,134.055
EDLI,AFIS,Langen Information,129.875
EDLI,INFO,Bielefeld Radio,118.355
EDLJ,AFIS,Langen Information,119.825
EDLJ,INFO,Detmold Radio,135.06
EDLK,AFIS,Langen Information,129.875
EDLK,INFO,Krefeld Radio,125.435
EDLM,AFIS,Langen Information,129.875
EDLM,INFO,Marl Radio,134.61
EDLN,GND,Moenchengladbach Ground / Rollkontrolle,121.93
EDLN,TWR,Moenchengladbach Tower / Turm,120.455
EDLN,ATIS,Moenchengladbach ATIS (MHV),109.8
EDLN,AFIS,Langen Information,129.875
EDLN,RADAR,Langen Radar,128.555
EDLO,TWR,Oerlinghausen Radio,136.41
EDLO,CTAF,Oerlinghausen Segelflug,128.36
EDLO,AFIS,Langen Information,129.875
EDLP,GND,Paderborn Ground / Rollkontrolle,121.93
EDLP,TWR,Paderborn Tower / Turm,133.38
EDLP,ATIS,Paderborn ATIS,125.73
EDLP,AFIS,LANGEN INFORMATION,129.875
EDLP,OPS,DISPATCH,130.425
EDLP,RDR,LANGEN RADAR,125.225
EDLR,AFIS,Langen Information,129.875
EDLR,INFO,Haxterberg Radio,125.035
EDLS,AFIS,LANGEN INFORMATION,129.875
EDLS,INFO,Stadtlohn Radui,119.205
EDLT,AFIS,Langen Information,129.875
EDLT,INFO,Telgte Radio,122.855
EDLV,TWR,Niederrhein Tower / Turm,129.405
EDLV,ATIS,Niederrhein ATIS,124.455
EDLV,INFO,Langen Information,129.875
EDLV,OPC,Ryanair,131.455
EDLV,RDR,LANGEN RADAR,128.5
EDLW,GND,Dortmund Ground / Rollkontrolle,121.83
EDLW,TWR,DOrtmund Tower / Turm,134.18
EDLW,APP,LANGEN RADAR,125.225
EDLW,ATIS,Dortmund AtIS,125.13
EDLW,AFIS,Langen Information,129.875
EDLX,AFIS,Langen Information,129.875
EDLX,INFO,Wesel Radio,122.03
EDLY,AFIS,Langen Information,129.875
EDLY,INFO,Hoxfeld Radio,122.93
EDLZ,AFIS,Langen Information,129.825
EDLZ,INFO,Soest Radio,133.465
EDMA,TWR,Augsburg Tower / Augsburg Turm,124.98
EDMA,ATIS,ATIS,119.665
EDMA,AFIS,LANGEN INFORMATION,120.65
EDMA,RDR,MUNCHEN RADAR,128.25
EDMA,VDF,Augsburg Tower / Augsburg Turm,124.98
EDMB,AFIS,Langen Information,126.95
EDMB,INFO,Biberach Radio,120.535
EDMC,AFIS,Langen Information,128.925
EDMC,INFO,Blaubeuren Radio,130.661
EDMD,AFIS,Langen Information,126.95
EDMD,INFO,Dachau Radio,133.01
EDME,ATIS,Eggenfelden ATIS,125.08
EDME,AFIS,Langen Information,120.65
EDME,INFO,Eggenfelden Information,120.305
EDMF,AFIS,Langen Information,120.65
EDMF,AFIS,Fuerstenzell Radio,128.74
EDMG,AFIS,Langen Information,132.65
EDMG,INFO,Guenzburg Radio,118.83
EDMH,AFIS,Langen Information,120.65
EDMH,INFO,Gutzenhausen Radio,118.96
EDMI,AFIS,Langen Information,128.95
EDMI,INFO,Illertissen Radio,128.865
EDMJ,AFIS,Langen Information,126.95
EDMJ,RADIO,Jesenwang Radio,120.055
EDMK,AFIS,Langen Information,126.95
EDMK,INFO,Kempten Radio,124.005
EDML,AFIS,Langen Information,120.65
EDML,INFO,Landshut Radio,129.805
EDMN,AFIS,Langen Information,126.95
EDMN,INFO,Mindelheim Radio,122.975
EDMO,TWR,Oberpfaffenhofen Tower / Turm,119.555
EDMO,ATIS,Oberpfaffenhofen ATIS,126.58
EDMO,AFIS,Langen Information,126.95
EDMO,ARR,MUNCHEN ARR,120.775
EDMO,RDR,MUNCHEN RADAR,127.95
EDMO,VOLMET,Frankfurt 2 VOLMET,135.78
EDMP,AFIS,Langen Information,120.65
EDMP,INFO,Vilsbiburg Radio,118.06
EDMQ,ATIS,ATIS,124.33
EDMQ,AFIS,Langen Information,120.65
EDMQ,AFIS,AIRBUS INFORMATION,122.055
EDMQ,RADIO,Genderkingen Radio,134.13
EDMS,ATIS,Straubing ATIS,135.53
EDMS,A/D,MUNCHEN RADAR,132.55
EDMS,AFIS,Langen Information,124.65
EDMS,FIS,Straubing Information,127.155
EDMS,INFO,MUNCHEN INFO,120.65
EDMT,AFIS,Langen Information,126.95
EDMT,INFO,Tannheim Radio,122.83
EDMU,AFIS,Langen Information,128.95
EDMU,INFO,Gundelfingen Radio,122.93
EDMV,AFIS,Langen Information,120.65
EDMV,INFO,Vilshofen Radio,119.18
EDMW,AFIS,Langen Information,120.65
EDMW,INFO,Deggendorf Radio,122.03
EDMY,AFIS,Langen Information,126.95
EDMY,RADIO,Muehldorf Radio,119.78
EDNA,AFIS,Langen Information,126.95
EDNA,INFO,Ampfing Radio,118.735
EDNB,AFIS,Langen Information,120.65
EDNB,INFO,Arnbruck Radio,118.555
EDNC,AFIS,Langen Information,120.65
EDNC,INFO,Beilingen Radio,118.355
EDND,AFIS,Langen Information,128.95
EDND,INFO,Dingelsbuehl Radio,134.535
EDNE,AFIS,Langen Information,128.95
EDNE,INFO,Erbach Radio,131.135
EDNF,AFIS,Langen Information,120.65
EDNF,INFO,Grafenau Radio,118.935
EDNG,TWR,Langen Information,128.95
EDNG,INFO,Giengen Radio,122.355
EDNH,AFIS,Langen Information,126.95
EDNH,INFO,Bad Wörishofen Radio,122.605
EDNI,AFIS,Langen Information,120.65
EDNJ,AFIS,Langen Information,120.65
EDNJ,INFO,Egweil Radio,132.005
EDNK,AFIS,Langen Information,126.95
EDNK,INFO,Kirchdorf Radio,118.63
EDNL,AFIS,Langen Information,126.95
EDNL,INFO,Leutkirch Radio,122.88
EDNO,AFIS,Langen Information,120.65
EDNO,AFIS,Langen Information,128.95
EDNO,INFO,Noerdlingen Radio,133.08
EDNP,AFIS,Langen Information,120.65
EDNP,FIS,Eggenfelden Information,120.305
EDNP,INFO,Pfarrkirchen Radio,119.98
EDNQ,AFIS,Langen Information,128.95
EDNQ,INFO,Bopfingen Radio,123.19
EDNR,AFIS,Langen Information,120.65
EDNR,INFO,Regensburg Radio,120.43
EDNS,AFIS,Langen Information,126.95
EDNS,INFO,Schwabmuenden Radio,124.515
EDNT,AFIS,Langen Information,120.65
EDNT,INFO,Treuchlingen Radio,122.605
EDNU,AFIS,Langen Information,126.95
EDNU,THANNHAUSEN INFO,Thannhausen Radio,118.18
EDNV,AFIS,Langen Information,126.95
EDNV,INFO,Vogtareuth Radio,121.03
EDNW,AFIS,Langen Information,128.95
EDNW,INFO,Weissenhorn Radio,119.43
EDNX,ATIS,Muenchen ATIS,123.13
EDNX,AFIS,Langen Information,126.95
EDNX,FIS,Schleissheim Information (IFR flight ops),131.13
EDNX,INFO,Schleissheim Radio,131.13
EDNY,TWR,Friedrichsfafen Tower / Turm,120.08
EDNY,TWR,Friedrichsfafen Tower / Turm,134.305
EDNY,APP,ZURICH ARR,119.925
EDNY,ATIS,Friedrichsfafen ATIS,129.605
EDNY,AFIS,ZURICH INFORMATION,124.7
EDNZ,AFIS,Langen Information,125.8
EDNZ,AFIS,Haidberg Radio,132.83
EDOA,AFIS,Langen Information,125.8
EDOA,INFO,Auerbarch Radio,128.74
EDOB,AFIS,Langen Information,125.8
EDOB,INFO,Bad Berka Radio,120.835
EDOC,AFIS,Langen Information,132.65
EDOC,INFO,Gerdelegen Radio,133.19
EDOD,AFIS,Langen Information,125.8
EDOD,INFO,Reinsdorf Radio,130.655
EDOE,AFIS,Langen Information,125.8
EDOE,INFO,Boehlen Radio,118.93
EDOF,AFIS,Langen Information,119.825
EDOF,INFO,Bad Frankenhausen Radio,121.19
EDOH,AFIS,Langen Information,125.8
EDOI,ATIS,Langen Information,132.65
EDOI,INFO,Bienenfarm Radio,134.99
EDOJ,AFIS,Langen Information,125.8
EDOJ,INFO,Luesse Radio,128.755
EDOK,AFIS,Langen Information,125.8
EDOK,INFO,Rudolfstadt Radio,118.33
EDOL,AFIS,Langen Information,119.825
EDOL,INFO,Oschersleben Radio,129.405
EDOM,AFIS,Langen Information,119.825
EDOM,INFO,Muehlingen Radio,136.41
EDON,AFIS,Langen Information,132.65
EDON,INFO,Neuhardenberg Radio,119.13
EDOQ,AFIS,Langen Information,125.8
EDOQ,INFO,Oschatz Radio,120.43
EDOR,AFIS,Langen Information,132.65
EDOR,INFO,Stoelln Radio,130.08
EDOS,AFIS,Langen Information,125.8
EDOS,INFO,Pennewitz Radio,130.64
EDOT,AFIS,Langen Information,125.8
EDOT,INFO,Greiz Radio,132.015
EDOU,AFIS,Langen Information,125.8
EDOU,INFO,Weimar Radio,134.535
EDOV,AFIS,Langen Information,132.65
EDOV,INFO,Stendal Radio,122.405
EDOW,AFIS,Langen Information,132.65
EDOW,INFO,Waren Radio,130.33
EDOX,AFIS,Langen Information,125.8
EDOX,INFO,Renneritz Radio,128.86
EDOZ,AFIS,Langen Information,119.825
EDOZ,INFO,Schoenebeck Radio,125.85
EDPA,AFIS,LANGEN INFO,128.95
EDPA,INFO,Aalen Radio,122.405
EDPB,AFIS,Langen Information,128.95
EDPB,INFO,Ditzenbach Radio,135.985
EDPC,AFIS,Langen Information,126.95
EDPC,INFO,Endorf Radio,118.915
EDPD,AFIS,Langen Information,120.65
EDPD,INFO,Dingolfing Radio,125.615
EDPE,AFIS,Langen Information,120.65
EDPE,INFO,Eichstaett Radio,123.005
EDPF,AFIS,Langen Information,120.65
EDPF,INFO,Schwandorf Radio,121.205
EDPG,AFIS,Langen Information,120.65
EDPG,FIS,Straubing Info,127.155
EDPG,INFO,Griesau Radio,125.74
EDPH,AFIS,Langen Information,120.65
EDPH,INFO,Schwabach Radio,135.43
EDPI,AFIS,Langen Information,120.65
EDPI,INFO,Moosburg Radio,125.815
EDPJ,AFIS,Langen Information,128.95
EDPJ,INFO,Laichingen Radio,127.705
EDPK,AFIS,Langen Information,126.95
EDPK,INFO,Schoenebrg Radio,132.99
EDPM,AFIS,Langen Information,128.95
EDPM,INFO,Donzdorf Radio,118.205
EDPO,AFIS,Langen Information,120.65
EDPO,INFO,Neumarkt Radio,122.33
EDPQ,AFIS,Langen Information,120.65
EDPQ,INFO,Schidgaden Radio,134.54
EDPS,AFIS,Langen Information,120.65
EDPS,INFO,Sonnen Radio,118.965
EDPT,AFIS,Langen Information,128.95
EDPT,INFO,Gerstetten Radio,120.815
EDPU,AFIS,Langen Information,128.95
EDPW,AFIS,Langen Information,120.65
EDPW,INFO,Thalmaessing Radio,128.86
EDPY,AFIS,Langen Information,128.95
EDPY,INFO,Ellwangen Radio,121.235
EDQA,ATIS,Bamberg ATIS,124.13
EDQA,AFIS,Langen Information,125.8
EDQA,INFORMATION,Bamberg INFORMATION,123.44
EDQB,TWR,Illeshaim Tower / Turm,129.85
EDQB,AFIS,Langen Information,119.15
EDQB,INFO,Windsheim Radio,118.26
EDQC,ATIS,Coburg ATIS,120.1
EDQC,AFIS,Langen Information,125.8
EDQC,INFO,COBURG INFORMATION,128.68
EDQC,RADAR,NUERNBERG RADAR,129.525
EDQD,ATIS,Bayreuth ATIS,119.56
EDQD,AFIS,Langen Information,125.8
EDQD,INFO,Bayreuth Information,127.53
EDQD,RDR,MUENCHEN RADAR,118.975
EDQE,A/G,FEUERSTEIN RADIO,130.78
EDQE,AFIS,LANGEN INFORMATION,125.8
EDQF,AFIS,Langen Information,120.65
EDQF,INFO,Ansbach Radio,123.79
EDQG,AFIS,Langen Information,119.15
EDQG,INFO,Giebelstadt Information,125.505
EDQH,AFIS,Langen Information,120.65
EDQH,INFO,HERZOGENAURACH RADIO,134.555
EDQI,AFIS,Langen Information,120.65
EDQI,INFO,Lauf Radio,128.585
EDQK,AFIS,Langen Information,125.8
EDQK,INFO,KULMBACH RADIO,118.53
EDQL,AFIS,Langen Information,125.8
EDQL,AFIS,Coburg Information,128.68
EDQL,INFO,Lichtenfels radio,118.19
EDQM,TWR,Hof Tower / Turm,124.355
EDQM,AFIS,Langen Information,125.8
EDQM,RDR,MUNCHEN RADAR,118.975
EDQN,AFIS,Langen Information,119.15
EDQN,INFO,Neustadt/Aisch Radio,118.93
EDQO,AFIS,Langen Information,125.8
EDQO,INFO,Ottengruener Heide Radio,133.585
